Protein	Start	End	Accession	Annotation	"new annot/
renumb."	Yutin gene nr	Region according to Yutin	Conserved in crAss-like family - Yutin (# occurences)	My annot	Note
KP06_gp01	190	346	NC_024711.1	hypothetical protein		1				
KP06_gp02	453	1203	NC_024711.1	putative ssb single stranded DNA-binding protein		2				
KP06_gp03	1183	1312	NC_024711.1	hypothetical protein		3				
KP06_gp04	1407	1713	NC_024711.1	hypothetical protein		4				
KP06_gp05	2373	2550	NC_024711.1	hypothetical protein	gene6 (gene5 is skipped)	6				
KP06_gp06	2691	3318	NC_024711.1	hypothetical protein		7				
KP06_gp07	3485	3665	NC_024711.1	hypothetical protein		8				
KP06_gp08	3677	4259	NC_024711.1	hypothetical protein		9				
KP06_gp09	4637	5000	NC_024711.1	hypothetical protein		10				
KP06_gp10	5159	5732	NC_024711.1	hypothetical protein		11				
KP06_gp11	5724	6003	NC_024711.1	hypothetical protein		12				
KP06_gp12	6146	6479	NC_024711.1	hypothetical protein		13				
KP06_gp13	6485	6956	NC_024711.1	hypothetical protein		14				
KP06_gp14	6955	8416	NC_024711.1	putative SF1 helicase		15			gene_fam SF1_helicase15	"Koonin 2020: Numerous crAss-like phages also encode a superfamily 2 (SNF2 family) helicase; the crAssphage clade genomes encode an apparently inactivated derivative of the SNF2 helicase but, additionally, possess a distinct helicase of superfamily 1."
KP06_gp15	8405	8960	NC_024711.1	putative Uracyl-DNA glycosylase		16	replication		gene_fam UDG	
KP06_gp16	8952	11280	NC_024711.1	putative DNA polymerase family B		17	replication			"used as hallmark gene by Guerin (to do: check is this correct? Is this the right polymerase?)
Koonin 2020: DNA Polymerase Family A is ancestral"
KP06_gp17	11276	12662	NC_024711.1	putative SWI2/SNF2 ATPase, non-canonical Walker A motif		18	replication			
KP06_gp18	12714	13647	NC_024711.1	putative RecT, phage RecT recombinase		19	replication			
KP06_gp19	13726	14554	NC_024711.1	hypothetical protein		20	replication			
KP06_gp20	14663	15683	NC_024711.1	putative ssb single stranded DNA-binding protein		21	replication		gene_fam gene21	
KP06_gp21	15705	17001	NC_024711.1	putative DnaG family primase		22	replication	15	DNA metabolism	"RNA Polymerase; most conserved replicative gene
conserved across all crAss-like phage subfamilies (Guerin)"
KP06_gp22	17029	17371	NC_024711.1	hypothetical protein		23	replication			
KP06_gp23	17367	17928	NC_024711.1	hypothetical protein		24	replication			
KP06_gp24	17920	19138	NC_024711.1	putative ATP-dependent DNA ligase		25	replication		gene_fam ligase25	
KP06_gp25	19118	19502	NC_024711.1	hypothetical protein		26	replication			
KP06_gp26	19776	20502	NC_024711.1	putative Deoxynucleoside monophosphate kinase		27	replication			
KP06_gp27	20498	20882	NC_024711.1	putative C4-type zinc finger protein		28	replication			
KP06_gp28	20868	21738	NC_024711.1	putative flavin-dependent thymidylate synthase		29	replication		gene_fam ThyX	
KP06_gp29	21721	21988	NC_024711.1	hypothetical protein		30	replication			
KP06_gp30	21971	22109	NC_024711.1	hypothetical protein		31	replication			
KP06_gp31	22108	22888	NC_024711.1	putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor		32	replication			
KP06_gp32	22964	23084	NC_024711.1	hypothetical protein		33	replication			
KP06_gp33	23085	24147	NC_024711.1	putative Protein of unknown function (DUF932)		34	replication			
KP06_gp34	24166	25851	NC_024711.1	putative Dut dUTPase (with intron insertion)		35	replication			
